Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.670000,5.706250,5.510000,5.553750,4.071900,26200000
2008-01-03,5.550000,5.561250,5.451250,5.486250,4.022412,21930400
2008-01-04,5.375000,5.406250,5.177500,5.263750,3.859279,21844800
2008-01-07,5.192500,5.397500,5.178750,5.373750,3.939929,29652000
2008-01-08,5.531250,5.531250,5.212500,5.246250,3.846448,25128800
2008-01-09,5.250000,5.375000,5.218750,5.355000,3.926181,18242400
2008-01-10,5.198750,5.370000,5.075000,5.355000,3.926181,43929600
2008-01-11,5.142500,5.250000,4.948750,5.017500,3.678734,55584800
2008-01-14,5.032500,5.125000,4.973750,5.043750,3.697978,28872000
2008-01-15,4.931250,4.976250,4.820000,4.886250,3.582504,36825600
2008-01-16,4.862500,4.921250,4.700000,4.830000,3.541262,33835200
2008-01-17,4.840000,4.908750,4.723750,4.832500,3.543094,44459200
2008-01-18,4.762500,4.875000,4.700000,4.752500,3.484439,35478400
2008-01-22,4.462500,4.827500,4.375000,4.741250,3.476192,37190400
2008-01-23,4.580000,4.873750,4.520000,4.846250,3.553176,33272000
2008-01-24,4.698750,4.961250,4.698750,4.918750,3.606331,39572800
2008-01-25,5.086250,5.087500,4.840000,4.906250,3.597168,28629600
2008-01-28,4.811250,4.981250,4.773750,4.963750,3.639325,24905600
2008-01-29,5.001250,5.083750,4.928750,5.026250,3.685148,23922400
2008-01-30,4.967500,5.096250,4.937500,4.987500,3.656738,20687200
2008-01-31,5.010000,5.218750,4.937500,5.175000,3.794209,43063200
2008-02-01,5.235000,5.590000,5.225000,5.437500,3.986668,48136000
2008-02-04,5.335000,5.392500,5.295000,5.336250,3.912434,24439200
2008-02-05,5.253750,5.253750,4.971250,4.981250,3.652156,38217600
2008-02-06,4.956250,5.082500,4.925000,4.976250,3.648490,24737600
2008-02-07,4.886250,5.081250,4.848750,4.992500,3.660403,28232000
2008-02-08,5.237500,5.343750,5.137500,5.212500,3.821703,36121600
2008-02-11,5.216250,5.225000,5.088750,5.158750,3.782295,15452800
2008-02-12,5.167500,5.291250,5.153750,5.233750,3.837284,20966400
2008-02-13,5.291250,5.311250,5.222500,5.261250,3.857444,23049600
2008-02-14,5.275000,5.275000,5.158750,5.193750,3.807956,23216000
2008-02-15,5.141250,5.187500,5.093750,5.145000,3.772213,21829600
2008-02-19,5.175000,5.276250,5.117500,5.130000,3.761216,13709600
2008-02-20,5.185000,5.262500,5.101250,5.155000,3.779546,21447200
2008-02-21,5.261250,5.335000,5.175000,5.212500,3.821703,23571200
2008-02-22,5.211250,5.211250,5.078750,5.187500,3.803375,16310400
2008-02-25,5.178750,5.267500,5.133750,5.266250,3.861112,17312000
2008-02-26,5.266250,5.360000,5.210000,5.301250,3.886774,20256000
2008-02-27,5.250000,5.283750,5.192500,5.250000,3.849197,18972000
2008-02-28,5.231250,5.231250,5.092500,5.115000,3.750217,19626400
2008-02-29,5.061250,5.061250,4.856250,4.865000,3.566924,34784000
2008-03-03,4.818750,4.835000,4.735000,4.776250,3.501853,32498400
